row_nr,person,title,date,content,url
13536,Harry S. Truman,Executive Order 9777—Designating the Honorable A. Cecil Snyder as Acting Judge of the District Court of the United States for Puerto Rico,1946-09-05,,https://www.presidency.ucsb.edu/documents/executive-order-9777-designating-the-honorable-cecil-snyder-acting-judge-the-district
13587,Harry S. Truman,"Executive Order 9765—Authorizing the Appointment of Albert H. Ladner, Jr., to a Position as Member of the Employees' Compensation Appeal Board in the Federal Security Agency Without Regard to Civil Service Rules",1946-07-29,,https://www.presidency.ucsb.edu/documents/executive-order-9765-authorizing-the-appointment-albert-h-ladner-jr-position-member-the
13603,Harry S. Truman,Executive Order 9755—Authorizing the Appointment of Hattie W. Caraway to a Position as Member of the Employees' Compensation Appeal Board in the Federal Security Agency Without Regard to Civil Service Rules,1946-07-16,,https://www.presidency.ucsb.edu/documents/executive-order-9755-authorizing-the-appointment-hattie-w-caraway-position-member-the
13605,Harry S. Truman,Executive Order 9757—Authorizing the Appointment of Arthur J. Altmeyer to a Position as Commissioner for Social Security in the Federal Security Agency Without Regard to Civil Service Rules,1946-07-16,,https://www.presidency.ucsb.edu/documents/executive-order-9757-authorizing-the-appointment-arthur-j-altmeyer-position-commissioner
13606,Harry S. Truman,Executive Order 9754—Authorizing the Appointment of Jewell Wood Swofford to a Position as Commissioner for Special Services in the Federal Security Agency Without Regard to Civil Service Rules,1946-07-16,,https://www.presidency.ucsb.edu/documents/executive-order-9754-authorizing-the-appointment-jewell-wood-swofford-position
13608,Harry S. Truman,Executive Order 9756—Authorizing the Appointment of George E. Bigge to a Position as Member of Director of Federal-State Relations in the Federal Security Agency Without Regard to Civil Service Rules,1946-07-16,,https://www.presidency.ucsb.edu/documents/executive-order-9756-authorizing-the-appointment-george-e-bigge-position-member-director
13611,Harry S. Truman,Executive Order 9753—Authorizing the Appointment of Ellen S. Woodward to a Position as Director of Inter-Agency Relations in the Federal Security Agency Without Regard to Civil Service Rules,1946-07-16,,https://www.presidency.ucsb.edu/documents/executive-order-9753-authorizing-the-appointment-ellen-s-woodward-position-director-inter
13698,Harry S. Truman,Executive Order 9826—Designating the Honorable A. Cecil Snyder as Acting Judge of the District Court of the United States for Puerto Rico,1947-01-31,,https://www.presidency.ucsb.edu/documents/executive-order-9826-designating-the-honorable-cecil-snyder-acting-judge-the-district
13819,Harry S. Truman,Executive Order 9696—Reinstating Monnett B. Davis in the Foreign Service of the United States,1946-02-12,,https://www.presidency.ucsb.edu/documents/executive-order-9696-reinstating-monnett-b-davis-the-foreign-service-the-united-states
13855,Harry S. Truman,Executive Order 9681—Designating the Honorable Jorge L. Cordova as Acting Judge of the District Court of the United States for Puerto Rico,1946-01-17,,https://www.presidency.ucsb.edu/documents/executive-order-9681-designating-the-honorable-jorge-l-cordova-acting-judge-the-district
13862,Harry S. Truman,"Executive Order 9677—Authorizing the Appointment of Certain Persons at the Home of Franklin D. Roosevelt National Historic Site, National Park Service, Without Regard to the Civil Service Rules",1946-01-14,,https://www.presidency.ucsb.edu/documents/executive-order-9677-authorizing-the-appointment-certain-persons-the-home-franklin-d
14122,Harry S. Truman,"Executive Order 9594—Designating the Chief of Engineers, United States Army, as a Member of the Federal Fire Council in Lieu of the Quartermaster General",1945-07-28,,https://www.presidency.ucsb.edu/documents/executive-order-9594-designating-the-chief-engineers-united-states-army-member-the-federal
14236,Harry S. Truman,Executive Order 9623—Reinstating Leland B. Morris in the Foreign Service of the United States,1945-09-20,,https://www.presidency.ucsb.edu/documents/executive-order-9623-reinstating-leland-b-morris-the-foreign-service-the-united-states
14237,Harry S. Truman,Executive Order 9624—Reinstating Wilys R. Peck in the Foreign Service of the United States,1945-09-20,,https://www.presidency.ucsb.edu/documents/executive-order-9624-reinstating-wilys-r-peck-the-foreign-service-the-united-states
14314,Harry S. Truman,Executive Order 9558—Reinstating Certain Former Foreign Service Officers,1945-05-26,,https://www.presidency.ucsb.edu/documents/executive-order-9558-reinstating-certain-former-foreign-service-officers
14378,Harry S. Truman,Executive Order 9539—Reinstating Avra M. Warren in the Foreign Service of the United States,1945-04-13,,https://www.presidency.ucsb.edu/documents/executive-order-9539-reinstating-avra-m-warren-the-foreign-service-the-united-states
16286,Harry S. Truman,Executive Order 10002—Exemption of Lawrence M. Lawson From Compulsory Retirement for Age,1948-09-17,,https://www.presidency.ucsb.edu/documents/executive-order-10002-exemption-lawrence-m-lawson-from-compulsory-retirement-for-age
16548,Harry S. Truman,Executive Order 10026-A—Korea,1949-01-05,,https://www.presidency.ucsb.edu/documents/executive-order-10026-korea
16628,Harry S. Truman,Executive Order 9966—Exemption of Carroll Miller From Compulsory Retirement for Age,1948-06-04,,https://www.presidency.ucsb.edu/documents/executive-order-9966-exemption-carroll-miller-from-compulsory-retirement-for-age
16638,Harry S. Truman,Executive Order 9963—Exemption of Samuel B. Hill From Compulsory Retirement for Age,1948-05-28,,https://www.presidency.ucsb.edu/documents/executive-order-9963-exemption-samuel-b-hill-from-compulsory-retirement-for-age
16664,Harry S. Truman,Executive Order 9956—Exemption of Harry B. Mitchell From Compulsory Retirement for Age,1948-05-06,,https://www.presidency.ucsb.edu/documents/executive-order-9956-exemption-harry-b-mitchell-from-compulsory-retirement-for-age
16674,Harry S. Truman,Executive Order 9954—Exemption of John Monroe Johnson From Compulsory Retirement for Age,1948-04-26,,https://www.presidency.ucsb.edu/documents/executive-order-9954-exemption-john-monroe-johnson-from-compulsory-retirement-for-age
16822,Harry S. Truman,Executive Order 9985—Authorizing the Appointment of Mrs. Margaret E. Batick to a Competitive Position Without Compliance With the Requirements of the Civil Service Rules,1948-08-16,,https://www.presidency.ucsb.edu/documents/executive-order-9985-authorizing-the-appointment-mrs-margaret-e-batick-competitive
16838,Harry S. Truman,Executive Order 9983—Exemption of Garland S. Ferguson From Compulsory Retirement for Age,1948-07-31,,https://www.presidency.ucsb.edu/documents/executive-order-9983-exemption-garland-s-ferguson-from-compulsory-retirement-for-age
16877,Harry S. Truman,Executive Order 9973-A—Exemption of Frank H. Wang From Compulsory Retirement for Age,1948-07-02,,https://www.presidency.ucsb.edu/documents/executive-order-9973-exemption-frank-h-wang-from-compulsory-retirement-for-age
17574,Dwight D. Eisenhower,Executive Order 10571-A—Assignment of Frequencies to Government Radio Stations,1954-10-26,,https://www.presidency.ucsb.edu/documents/executive-order-10571-assignment-frequencies-government-radio-stations
20216,Dwight D. Eisenhower,Executive Order 10695-A—Radio Frequencies,1957-01-16,,https://www.presidency.ucsb.edu/documents/executive-order-10695-radio-frequencies
27836,Jimmy Carter,Jimmy Carter Event Timeline,,".
act deregulating railroads (Staggers Rail Act of 1980).  Carter had proposed deregulation in a 
.",https://www.presidency.ucsb.edu/documents/jimmy-carter-event-timeline
27837,Barack Obama,Barack Obama Event Timeline,," 
 ",https://www.presidency.ucsb.edu/documents/barack-obama-event-timeline
